Guid,AccountId,AssistantName,AssistantPhone,Birthdate,Department,Description,Email,EmailBouncedReason,Fax,FirstName,HomePhone,Jigsaw,Languages__c,LastName,LeadSource,Level__c,MailingCity,MailingCountry,MailingGeocodeAccuracy,MailingLatitude,MailingLongitude,MailingPostalCode,MailingState,MailingStreet,MobilePhone,OtherCity,OtherCountry,OtherGeocodeAccuracy,OtherLatitude,OtherLongitude,OtherPhone,OtherPostalCode,OtherState,OtherStreet,Phone,Salutation,Title
0493ccc3-f4b5-4dae-9291-1ee0479762ed,9ad70dba-0dce-4419-b100-f9f598c1f488,"#N/A","#N/A",1955-12-31,Facilities,"#N/A",bond_john@grandhotels.com,"#N/A",(312) 596-1500,John,"#N/A","#N/A",English,Bond,External Referral,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1563,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312) 596-1000,Mr.,"VP, Facilities"
05bf33d3-8fb7-4f6b-8b94-9a6a453cd6ee,5e1b29f6-aa06-4dc4-a2dd-1e2971f7f718,"#N/A","#N/A",1960-07-29,Technology,"#N/A",lboyle@uog.com,"#N/A",(212) 842-5501,Lauren,"#N/A","#N/A",English,Boyle,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1304 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5611,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,Ms.,"SVP, Technology"
14f3e6bb-be04-478f-8ee6-2e1e3890b32a,5aa18069-7b71-444e-904c-7b4ca3e3f87f,Jean Marie,(014) 427-4465,"#N/A",Finance,"#N/A",pat@pyramid.net,"#N/A",(014) 427-4428,Pat,"#N/A","#N/A","French, English",Stumuller,"#N/A",Primary,Paris,France,"#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,(014) 454-6364,Paris,France,"#N/A","#N/A","#N/A","#N/A",75251,"#N/A",2 Place Jussieu,(014) 427-4427,Ms.,"SVP, Administration and Finance"
1abf6dc3-4655-4f38-98bd-18e6402d6702,ff85adbc-0b78-4888-b831-9dbc8b1a1289,"#N/A","#N/A",1948-05-26,Warehouse Mgmt,"#N/A",j.davis@expressl&t.net,"#N/A",(503) 421-7801,Josh,"#N/A","#N/A",English,Davis,Word of mouth,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-4387,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(503) 421-7800,Mr.,"Director, Warehouse Mgmt"
3e315b27-c9b4-4d30-adb3-b1a3094b0b32,9ad70dba-0dce-4419-b100-f9f598c1f488,"#N/A","#N/A",1953-10-19,Finance,"#N/A",barr_tim@grandhotels.com,"#N/A",(312) 596-1500,Tim,"#N/A","#N/A",English,Barr,External Referral,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2335 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",(312) 596-1230,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(312) 596-1000,Mr.,"SVP, Administration and Finance"
4c4c74cc-1d6f-4bac-8533-8b2f58891e3b,5e1b29f6-aa06-4dc4-a2dd-1e2971f7f718,Pat Feinstein,(212) 842-5464,1951-10-12,Executive Team,"#N/A",asong@uog.com,"#N/A",(212) 842-5501,Arthur,"#N/A","#N/A",English,Song,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1301 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-4535,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,Mr.,CEO
690ee579-d7f0-4d56-99b3-372456aebda5,7eb95191-3be4-4866-bb29-3eaeb0ab72d4,"#N/A","#N/A",1968-02-23,Procurement,"#N/A",rose@edge.com,"#N/A",(512) 757-9000,Rose,"#N/A","#N/A",English,Gonzalez,Trade Show,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","313 Constitution Place
Austin, TX 78767
USA",(512) 757-9340,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,Ms.,"SVP, Procurement"
83b9b377-e72f-4027-8eeb-d8e3c7961a2d,5e1b29f6-aa06-4dc4-a2dd-1e2971f7f718,Chris Nobel,(212) 842-5428,1933-09-22,Finance,"#N/A",agreen@uog.com,"#N/A",(212) 842-5501,Avi,"#N/A","#N/A",English,Green,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1302 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-2383,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5500,Mr.,CFO
9182f7a4-d4c8-499b-a9bd-7f9b8106f3c8,e89f40a1-de00-4ad8-8121-795d4ca79f1f,"#N/A","#N/A",1942-05-05,Technology,"#N/A",efrank@genepoint.com,"#N/A",(650) 867-9895,Edna,"#N/A","#N/A",English,Frank,Partner,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","345 Shoreline Park
Mountain View, CA 94043
USA",(650) 867-7686,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 867-3450,Ms.,"VP, Technology"
9a746dbb-c69c-47a7-91ca-87276b18e247,5e1b29f6-aa06-4dc4-a2dd-1e2971f7f718,Audrey Haynes,(212) 842-5589,1943-06-16,Production,"#N/A",spavlova@uog.com,"#N/A",(212) 842-5501,Stella,"#N/A","#N/A",English,Pavlova,Public Relations,Tertiary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","1303 Avenue of the Americas 
New York, NY 10019
USA",(212) 842-5501,"#N/A","#N/A","#N/A","#N/A","#N/A",(212) 842-5543,"#N/A","#N/A","#N/A",(212) 842-5500,Ms.,"SVP, Production"
9f89b479-28ac-4eb6-a7e8-17ebfa8426dd,ff85adbc-0b78-4888-b831-9dbc8b1a1289,Ron Sage,(503) 421-6782,1937-01-30,Operations,"#N/A",b.levy@expressl&t.net,"#N/A",(503) 421-7801,Babara,"#N/A","#N/A",English,Levy,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",(503) 421-5451,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(503) 421-7800,Ms.,"SVP, Operations"
adb13b08-059c-4e71-b264-ac1be119ed01,7eb95191-3be4-4866-bb29-3eaeb0ab72d4,"#N/A","#N/A",1946-11-21,Finance,"#N/A",sean@edge.com,"#N/A",(512) 757-9000,Sean,"#N/A","#N/A",English,Forbes,Trade Show,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","312 Constitution Place
Austin, TX 78767
USA",(512) 757-4561,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(512) 757-6000,Mr.,CFO
b311d891-296a-44c5-b06e-ace0e9fad01a,21c7ef3d-fb53-4b65-b534-89dc99047c43,"#N/A","#N/A",1961-11-28,Production,"#N/A",ldcruz@uog.com,"#N/A",(650) 450-8820,Liz,"#N/A","#N/A",English,D'Cruz,Public Relations,Secondary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10 Tagore Lane
Singapore, Singapore 787472
Singapore",(650) 345-6637,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 450-8810,Ms.,"VP, Production"
b88e2bd5-ecd5-4053-81f6-cdc6fde07fb1,21c7ef3d-fb53-4b65-b534-89dc99047c43,"#N/A","#N/A",1950-08-18,Executive Team,"#N/A",tripley@uog.com,"#N/A",(650) 450-8820,Tom,"#N/A","#N/A",English,Ripley,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9 Tagore Lane
Singapore, Singapore 787472
Singapore",(650) 345-7636,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 450-8810,Mr.,Regional General Manager
c18f9824-e43b-41f7-889d-ce63dbbae972,375ec7f1-88d9-4f23-bc02-15efec208368,"#N/A","#N/A","#N/A","#N/A","#N/A",jrogers@burlington.com,"#N/A",(336) 222-8000,Jack,"#N/A","#N/A","#N/A",Rogers,Web,"#N/A",Burlington,USA,"#N/A","#N/A","#N/A",27215,NC,525 S. Lexington Ave,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(336) 222-7000,Mr.,"VP, Facilities"
d639a09c-06e7-4f2a-addb-3688cb2081f0,f7ef5051-7353-4aeb-805f-e742a5d66b31,"#N/A","#N/A",1946-06-21,Finance,"#N/A",ajames@uog.com,"#N/A",+44 191 4956620,Ashley,"#N/A","#N/A",English,James,Public Relations,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",+44 191 3456234,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 191 4956203,Ms.,"VP, Finance"
e2661bf3-53ba-4bbe-81dd-643419830eb4,73867c05-1246-439c-908e-4b39bade3b25,"#N/A","#N/A","#N/A",Internal Operations,"#N/A",a_young@dickenson.com,"#N/A","#N/A",Andy,"#N/A","#N/A",English,Young,Purchased List,Primary,Lawrence,USA,"#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,(785) 265-5350,Lawrence,USA,"#N/A","#N/A","#N/A","#N/A",66045,KS,1301 Hoch Drive,(785) 241-6200,Mr,"SVP, Operations"
e4c67fc0-010c-49db-b23f-ab5234142a21,14e8e80c-68e2-47f5-82d3-73e1b6df2184,"#N/A","#N/A",1944-04-12,Administration,"#N/A",jane_gray@uoa.edu,"#N/A",(520) 773-9060,Jane,"#N/A","#N/A",English,Grey,Word of mouth,Primary,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",(520) 773-4539,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(520) 773-9050,Ms.,Dean of Administration
